timestamp,frontend_ms,extraction_ms,matching_ms,estimation_ms
1403715927.634058,6.964347,5.630025,1.334322,24.238006
1403715927.734058,7.688307,5.732531,1.955776,26.134276
1403715927.834058,7.474830,5.675462,1.799368,26.086748
1403715927.934058,7.694439,5.742911,1.951528,28.079494
1403715928.034058,7.736979,6.523277,1.213702,28.325583
1403715928.134058,6.829912,5.351836,1.478076,23.561096
1403715928.234058,5.923085,4.661561,1.261524,27.145154
1403715928.334058,7.680853,6.251329,1.429524,31.366156
1403715928.434058,5.551245,4.310231,1.241014,25.029333
1403715928.534058,6.006734,4.895106,1.111628,24.564578
1403715928.634058,6.765128,5.342397,1.422731,31.115046
1403715928.734058,6.637234,5.524074,1.113160,16.361851
1403715928.834058,5.952200,4.656902,1.295298,14.792011
1403715928.934058,5.463368,4.421944,1.041424,18.091907
1403715929.034058,5.464581,4.396426,1.068155,18.590817
1403715929.134058,5.574450,4.532154,1.042296,20.043175
1403715929.234058,5.796943,4.536562,1.260381,30.319071
1403715929.334058,5.331537,4.385755,0.945782,21.929646
1403715929.434058,5.717292,4.622516,1.094776,24.363565
1403715929.534058,8.113758,5.864222,2.249536,23.683820
1403715929.634058,6.264594,4.874165,1.390429,23.010086
1403715929.734058,5.225345,4.109389,1.115956,18.739290
1403715929.834058,6.815434,5.516109,1.299325,23.426149
1403715929.934058,11.025484,8.485936,2.539548,24.020010
1403715930.034058,6.129978,3.816260,2.313718,28.393833
1403715930.134058,8.436653,5.107310,3.329343,25.495331
1403715930.234058,8.089973,5.864824,2.225149,20.082760
1403715930.334058,6.301544,4.950681,1.350863,22.071278
1403715930.434058,5.887086,4.636964,1.250122,20.620985
1403715930.534058,6.483281,5.406099,1.077182,23.586354
1403715930.634058,7.748001,6.068632,1.679369,20.870219
1403715930.734058,8.408699,6.086846,2.321853,28.241834
1403715930.834058,7.532269,6.471889,1.060380,25.422752
1403715930.934058,8.980950,5.278266,3.702684,21.494488
1403715931.034058,5.777817,4.128775,1.649042,27.689411
1403715931.134058,8.920544,7.103212,1.817332,25.293957
1403715931.234058,6.267940,5.251955,1.015985,28.903023
1403715931.334058,6.358874,5.296510,1.062364,26.929162
1403715931.434058,10.111003,8.122745,1.988258,30.469036
1403715931.534058,7.281832,6.136420,1.145412,29.705141
1403715931.634058,6.074571,4.813769,1.260802,28.451913
1403715931.734058,6.069583,5.026355,1.043228,36.833191
1403715931.834058,8.379083,6.277008,2.102075,28.658054
1403715931.934058,7.548921,6.070625,1.478296,23.357628
1403715932.034058,8.504321,5.162675,3.341646,22.444829
1403715932.134058,9.309486,4.887321,4.422165,19.827083
1403715932.234058,7.974632,5.780141,2.194491,20.811067
1403715932.334058,7.741308,3.954323,3.786985,17.002852
1403715932.434058,6.782631,5.171462,1.611169,20.648277
1403715932.534058,9.368868,7.255292,2.113576,13.715407
1403715932.634058,7.231197,4.722668,2.508529,16.420603
1403715932.734058,7.159419,5.993107,1.166312,18.448707
1403715932.834058,7.357147,5.290259,2.066888,23.166584
1403715932.934058,6.355248,4.916086,1.439162,19.150704
1403715933.034058,8.190674,6.316674,1.874000,19.417823
1403715933.134058,10.710054,8.549457,2.160597,19.442800
1403715933.234058,10.521746,6.132173,4.389573,18.785839
1403715933.334058,6.713129,4.474364,2.238765,21.995132
1403715933.434058,8.868666,6.711316,2.157350,23.335134
1403715933.534058,9.878529,7.499908,2.378621,22.512418
1403715933.634058,8.075384,5.716771,2.358613,24.446223
1403715933.734058,6.026882,4.874096,1.152786,22.180646
1403715933.834058,7.860586,5.951208,1.909378,22.345240
1403715933.934058,7.800872,5.399717,2.401155,18.015571
1403715934.034058,7.996364,6.862784,1.133580,20.400886
1403715934.134058,6.727567,4.991149,1.736418,16.396918
1403715934.234058,9.305448,6.790056,2.515392,17.093284
1403715934.334058,12.251230,10.152061,2.099169,16.141701
1403715934.434058,6.913821,3.909508,3.004313,14.696027
1403715934.534058,6.004037,5.035723,0.968314,21.728374
1403715934.634058,9.569692,8.315933,1.253759,16.179865
1403715934.734058,8.723430,6.265647,2.457783,15.397794
1403715934.834058,6.797620,5.485009,1.312611,16.633889
1403715934.934058,6.885107,4.180695,2.704412,14.182710
1403715935.034058,5.893227,4.006252,1.886975,17.877706
1403715935.134058,13.105106,4.940342,8.164764,15.701253
1403715935.234058,7.049970,5.301419,1.748551,16.702309
1403715935.334058,4.850781,3.654973,1.195808,27.447209
1403715935.434058,7.653281,6.188390,1.464891,20.526014
1403715935.534058,6.949008,5.325656,1.623352,21.159500
1403715935.634058,6.247813,4.648636,1.599177,22.816308
1403715935.734058,6.934391,4.799444,2.134947,18.708090
1403715935.834058,9.103353,6.834320,2.269033,18.613430
1403715935.934058,9.859112,7.207270,2.651842,18.166819
